Date : 2025-07-04 09:51:10
Directory : d:\project
Total : 94 files,  5682 codes, 261 comments, 578 blanks, all 6521 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| backend\tms (Files)                                                                         |          8 |        146 |          6 |         39 |        191 |
| backend\tms\migrations                                                                      |          2 |         23 |          1 |          8 |         32 |
| docker                                                                                      |          1 |         16 |          0 |          2 |         18 |
| frontend                                                                                    |         37 |      5,648 |        248 |        547 |      6,443 |
| frontend (Files)                                                                            |          4 |         23 |          9 |          2 |         34 |
| frontend\src                                                                                |         33 |      5,625 |        239 |        545 |      6,409 |
| frontend\src (Files)                                                                        |          1 |         94 |          0 |          4 |         98 |
| frontend\src\api                                                                            |          3 |         67 |          0 |         23 |         90 |
| frontend\src\components                                                                     |          7 |      2,085 |         88 |        158 |      2,331 |
| frontend\src\components\UI                                                                  |          7 |      2,085 |         88 |        158 |      2,331 |
| frontend\src\components\UI\Library                                                          |          1 |       -341 |        -11 |        -32 |       -384 |
| frontend\src\components\UI\Shared                                                           |          3 |      1,397 |         66 |         91 |      1,554 |
| frontend\src\components\UI\Sidebar                                                          |          3 |      1,029 |         33 |         99 |      1,161 |
| frontend\src\context                                                                        |          1 |          1 |          0 |          0 |          1 |
| frontend\src\pages                                                                          |         17 |      3,354 |        151 |        355 |      3,860 |
| frontend\src\pages (Files)                                                                  |          2 |         12 |          0 |         -1 |         11 |
| frontend\src\pages\LMS                                                                      |          5 |       -513 |        -32 |        -25 |       -570 |
| frontend\src\pages\NMS                                                                      |          6 |      2,413 |        104 |        228 |      2,745 |
| frontend\src\pages\TMS                                                                      |          4 |      1,442 |         79 |        153 |      1,674 |
| frontend\src\routes                                                                         |          4 |         24 |          0 |          5 |         29 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                    | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\project\README.md                                                                        | Markdown         |        -56 |          0 |        -27 |        -83 |
| d:\project\backend\.dockerignore                                                            | Ignore           |         18 |          8 |          8 |         34 |
| d:\project\backend\Dockerfile                                                               | Docker           |         10 |          1 |         10 |         21 |
| d:\project\backend\Notification\migrations\0001_initial.py                                  | Python           |         -4 |          0 |          0 |         -4 |
| d:\project\backend\Notification\migrations\0002_initial.py                                  | Python           |         21 |          1 |          7 |         29 |
| d:\project\backend\Notification\migrations\0002_notification_message.py                     | Python           |        -12 |         -1 |         -6 |        -19 |
| d:\project\backend\Notification\models.py                                                   | Python           |         -2 |          0 |          1 |         -1 |
| d:\project\backend\backend\settings.py                                                      | Python           |          2 |          0 |          0 |          2 |
| d:\project\backend\backend\urls.py                                                          | Python           |          2 |          0 |          0 |          2 |
| d:\project\backend\customauth\serializer.py                                                 | Python           |          1 |          0 |          0 |          1 |
| d:\project\backend\customuser\models.py                                                     | Python           |         -2 |          0 |          0 |         -2 |
| d:\project\backend\customuser\views.py                                                      | Python           |          1 |          0 |         -1 |          0 |
| d:\project\backend\lms\admin.py                                                             | Python           |          2 |          0 |          0 |          2 |
| d:\project\backend\lms\migrations\0001_initial.py                                           | Python           |         42 |          0 |          0 |         42 |
| d:\project\backend\lms\migrations\0002_alter_class_name_alter_section_name.py               | Python           |         17 |          1 |          6 |         24 |
| d:\project\backend\lms\migrations\0002_remove_class_section.py                              | Python           |        -11 |         -1 |         -6 |        -18 |
| d:\project\backend\lms\migrations\0003_book.py                                              | Python           |        -19 |         -1 |         -6 |        -26 |
| d:\project\backend\lms\migrations\0004_book_created_at.py                                   | Python           |        -12 |         -1 |         -6 |        -19 |
| d:\project\backend\lms\migrations\0005_alter_book_class_name_alter_book_section_and_more.py | Python           |        -25 |         -1 |         -6 |        -32 |
| d:\project\backend\lms\migrations\0006_bookissue.py                                         | Python           |        -19 |         -1 |         -6 |        -26 |
| d:\project\backend\lms\migrations\0007_bookreturn.py                                        | Python           |        -16 |         -1 |         -6 |        -23 |
| d:\project\backend\lms\migrations\0008_bookissue_has_returned_bookreturn_fine_amount.py     | Python           |        -17 |         -1 |         -6 |        -24 |
| d:\project\backend\lms\migrations\0009_bookreturn_condition_bookreturn_note.py              | Python           |        -17 |         -1 |         -6 |        -24 |
| d:\project\backend\lms\models.py                                                            | Python           |          4 |          0 |          5 |          9 |
| d:\project\backend\lms\serializer.py                                                        | Python           |          7 |          0 |          4 |         11 |
| d:\project\backend\lms\urls.py                                                              | Python           |          4 |          0 |          0 |          4 |
| d:\project\backend\lms\views.py                                                             | Python           |         68 |          0 |          9 |         77 |
| d:\project\backend\nurse\__init__.py                                                        | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\nurse\admin.py                                                           | Python           |          4 |          1 |          0 |          5 |
| d:\project\backend\nurse\apps.py                                                            | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\nurse\migrations\0001_initial.py                                         | Python           |         34 |          1 |          7 |         42 |
| d:\project\backend\nurse\migrations\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\nurse\models.py                                                          | Python           |         29 |          1 |         11 |         41 |
| d:\project\backend\nurse\serializer.py                                                      | Python           |         38 |          0 |         21 |         59 |
| d:\project\backend\nurse\tests.py                                                           | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\nurse\urls.py                                                            | Python           |          8 |          0 |          1 |          9 |
| d:\project\backend\nurse\views.py                                                           | Python           |         76 |          1 |          8 |         85 |
| d:\project\backend\requirements.txt                                                         | pip requirements |         19 |          0 |          0 |         19 |
| d:\project\backend\student\migrations\0001_initial.py                                       | Python           |          2 |          0 |          0 |          2 |
| d:\project\backend\student\migrations\0002_studentprofile_father_name_and_more.py           | Python           |        -17 |         -1 |         -6 |        -24 |
| d:\project\backend\student\serializer.py                                                    | Python           |         13 |          0 |          0 |         13 |
| d:\project\backend\student\urls.py                                                          | Python           |         -1 |          0 |          1 |          0 |
| d:\project\backend\student\views.py                                                         | Python           |        -30 |          0 |         -2 |        -32 |
| d:\project\backend\tms\__init__.py                                                          | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\tms\admin.py                                                             | Python           |          3 |          1 |          2 |          6 |
| d:\project\backend\tms\apps.py                                                              | Python           |          4 |          0 |          3 |          7 |
| d:\project\backend\tms\migrations\0001_initial.py                                           | Python           |         23 |          1 |          7 |         31 |
| d:\project\backend\tms\migrations\__init__.py                                               | Python           |          0 |          0 |          1 |          1 |
| d:\project\backend\tms\models.py                                                            | Python           |         12 |          1 |          6 |         19 |
| d:\project\backend\tms\serializer.py                                                        | Python           |         50 |          0 |          9 |         59 |
| d:\project\backend\tms\tests.py                                                             | Python           |          1 |          1 |          2 |          4 |
| d:\project\backend\tms\urls.py                                                              | Python           |          6 |          0 |          1 |          7 |
| d:\project\backend\tms\views.py                                                             | Python           |         70 |          3 |         15 |         88 |
| d:\project\docker\docker-compose.yml                                                        | YAML             |         16 |          0 |          2 |         18 |
| d:\project\frontend\.dockerignore                                                           | Ignore           |          2 |          0 |          1 |          3 |
| d:\project\frontend\Dockerfile                                                              | Docker           |          7 |          7 |          0 |         14 |
| d:\project\frontend\src\App.jsx                                                             | JavaScript JSX   |         94 |          0 |          4 |         98 |
| d:\project\frontend\src\api\nurse.jsx                                                       | JavaScript JSX   |         34 |          0 |         13 |         47 |
| d:\project\frontend\src\api\student.jsx                                                     | JavaScript JSX   |         12 |          0 |          3 |         15 |
| d:\project\frontend\src\api\teacher.jsx                                                     | JavaScript JSX   |         21 |          0 |          7 |         28 |
| d:\project\frontend\src\components\UI\Library\Sidebar.jsx                                   | JavaScript JSX   |       -341 |        -11 |        -32 |       -384 |
| d:\project\frontend\src\components\UI\Shared\PhoneNunberFinder.jsx                          | JavaScript JSX   |        308 |         16 |         27 |        351 |
| d:\project\frontend\src\components\UI\Shared\PrincipleN.jsx                                 | JavaScript JSX   |        480 |         21 |         29 |        530 |
| d:\project\frontend\src\components\UI\Shared\Profile.jsx                                    | JavaScript JSX   |        609 |         29 |         35 |        673 |
| d:\project\frontend\src\components\UI\Sidebar\Library.jsx                                   | JavaScript JSX   |        350 |         11 |         34 |        395 |
| d:\project\frontend\src\components\UI\Sidebar\Nurse.jsx                                     | JavaScript JSX   |        334 |         11 |         32 |        377 |
| d:\project\frontend\src\components\UI\Sidebar\Teacher.jsx                                   | JavaScript JSX   |        345 |         11 |         33 |        389 |
| d:\project\frontend\src\context\Auth.jsx                                                    | JavaScript JSX   |          1 |          0 |          0 |          1 |
| d:\project\frontend\src\pages\Contact.jsx                                                   | JavaScript JSX   |          1 |          0 |         -1 |          0 |
| d:\project\frontend\src\pages\Export.jsx                                                    | JavaScript JSX   |         11 |          0 |          0 |         11 |
| d:\project\frontend\src\pages\LMS\LDashboard.jsx                                            | JavaScript JSX   |        420 |         15 |         31 |        466 |
| d:\project\frontend\src\pages\LMS\LIR.jsx                                                   | JavaScript JSX   |        148 |          3 |          8 |        159 |
| d:\project\frontend\src\pages\LMS\LPrinciple.jsx                                            | JavaScript JSX   |       -480 |        -21 |        -29 |       -530 |
| d:\project\frontend\src\pages\LMS\LRBook.jsx                                                | JavaScript JSX   |          8 |          0 |          0 |          8 |
| d:\project\frontend\src\pages\LMS\Lprofile.jsx                                              | JavaScript JSX   |       -609 |        -29 |        -35 |       -673 |
| d:\project\frontend\src\pages\NMS\AddProduct.jsx                                            | JavaScript JSX   |        228 |         10 |         25 |        263 |
| d:\project\frontend\src\pages\NMS\NAddRecord.jsx                                            | JavaScript JSX   |        518 |         30 |         52 |        600 |
| d:\project\frontend\src\pages\NMS\NAllRecord.jsx                                            | JavaScript JSX   |        508 |         21 |         44 |        573 |
| d:\project\frontend\src\pages\NMS\NDash.jsx                                                 | JavaScript JSX   |        562 |         21 |         53 |        636 |
| d:\project\frontend\src\pages\NMS\NLayout.jsx                                               | JavaScript JSX   |         11 |          0 |          3 |         14 |
| d:\project\frontend\src\pages\NMS\TotalProduct.jsx                                          | JavaScript JSX   |        586 |         22 |         51 |        659 |
| d:\project\frontend\src\pages\TMS\Attandance.jsx                                            | JavaScript JSX   |        561 |         31 |         63 |        655 |
| d:\project\frontend\src\pages\TMS\AttandanceHistory.jsx                                     | JavaScript JSX   |        415 |         22 |         41 |        478 |
| d:\project\frontend\src\pages\TMS\AttandanceStudent.jsx                                     | JavaScript JSX   |        455 |         26 |         46 |        527 |
| d:\project\frontend\src\pages\TMS\TLayout.jsx                                               | JavaScript JSX   |         11 |          0 |          3 |         14 |
| d:\project\frontend\src\routes\ExportRoute.jsx                                              | JavaScript JSX   |          2 |          0 |          0 |          2 |
| d:\project\frontend\src\routes\NurseRoute.jsx                                               | JavaScript JSX   |         10 |          0 |          1 |         11 |
| d:\project\frontend\src\routes\PublicRoute.jsx                                              | JavaScript JSX   |          1 |          0 |          1 |          2 |
| d:\project\frontend\src\routes\TeacherRoute.jsx                                             | JavaScript JSX   |         11 |          0 |          3 |         14 |
| d:\project\frontend\tailwind.config.js                                                      | JavaScript       |          4 |          0 |          0 |          4 |
| d:\project\frontend\vite.config.js                                                          | JavaScript       |         10 |          2 |          1 |         13 |
| d:\project\lol.md                                                                           | Markdown         |       -437 |          0 |        -75 |       -512 |
| d:\project\main.py                                                                          | Python           |        -49 |          0 |         -8 |        -57 |
| d:\project\test.md                                                                          | Markdown         |        168 |          0 |         49 |        217 |
| Total                                                                                       |                  |      5,682 |        261 |        578 |      6,521 |
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
